Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,LZ0SMO,145.600,split,145.000,Tone,91.5,88.5,23,NN,FM,5,,,,,
2,LZ0BOT,145.650,split,145.050,,88.5,88.5,23,NN,FM,5,,,,,
3,LZ0DOE,439.000,split,431.400,Tone,79.7,88.5,23,NN,FM,5,,,,,
4,LZ0CUM,145.675,split,145.075,,88.5,88.5,23,NN,FM,5,,,,,
5,LZ0SLV,145.700,split,145.100,,88.5,88.5,23,NN,FM,5,,,,,
6,LZ0VRF,145.725,split,145.125,,88.5,88.5,23,NN,FM,5,,,,,
7,LZ0RCT,145.750,split,145.150,,88.5,88.5,23,NN,FM,5,,,,,
8,LZ0KOM,145.775,split,145.175,,88.5,88.5,23,NN,FM,5,,,,,
9,LZ0RSL,145.775,split,145.175,,88.5,88.5,23,NN,FM,5,,,,,
10,LZ0VAR,145.775,split,145.175,Tone,88.5,88.5,23,NN,FM,5,,,,,
11,LZ0SMN,438.700,split,431.100,Tone,91.5,88.5,23,NN,FM,5,,,,,
12,LZ0WAG,145.350,split,144.750,,88.5,88.5,23,NN,FM,5,,,,,
13,LZ0UHF,439.400,split,431.800,Tone,79.7,88.5,23,NN,FM,5,,,,,
14,LZ0IVA,439.325,split,431.725,Tone,91.5,88.5,23,NN,FM,5,,,,,
15,LZ0BGM,439.300,split,431.700,Tone,79.7,88.5,23,NN,FM,5,,,,,
16,LZ0MAR,439.125,split,431.525,,88.5,88.5,23,NN,FM,5,,,,,
17,LZ0ROJ,438.650,split,431.050,Tone,91.5,88.5,23,NN,FM,5,,,,,
18,LZ1ZF-L,433.200,split,,,88.5,88.5,23,NN,FM,5,,,,,
19,LZ0RUS,439.475,split,431.875,,88.5,88.5,23,NN,FM,5,,,,,
20,LZ0RAB,145.625,split,145.025,,88.5,88.5,23,NN,FM,5,,,,,
21,LZ0KAC,145.600,split,145.000,,88.5,88.5,23,NN,FM,5,,,,,
22,LZ0BGN,145.750,split,145.150,Tone,79.7,88.5,23,NN,FM,5,,,,,
23,LZ0NAO,145.375,split,144.775,Tone,91.5,88.5,23,NN,FM,5,,,,,
24,LZ0DSR,439.175,split,431.575,,88.5,88.5,23,NN,FM,5,,,,,
25,LZ0PTH,438.700,split,431.100,,88.5,88.5,23,NN,FM,5,,,,,
26,LZ0PLD,438.800,split,431.200,Tone,79.7,88.5,23,NN,FM,5,,,,,
27,LZ0SEA,439.100,split,431.500,Tone,79.7,88.5,23,NN,FM,5,,,,,
28,LZ0STV,145.325,split,144.725,,88.5,88.5,23,NN,FM,5,,,,,
29,LZ0RCB,145.600,split,145.000,,88.5,88.5,23,NN,FM,5,,,,,
30,LZ0DIM,439.475,split,431.875,,88.5,88.5,23,NN,FM,5,,,,,
31,LZ0RKN,145.725,split,145.125,,88.5,88.5,23,NN,FM,5,,,,,
32,LZ0RDP,439.000,split,431.400,,88.5,88.5,23,NN,FM,5,,,,,
33,LZ0FSB,439.150,split,431.550,,88.5,88.5,23,NN,FM,5,,,,,
34,LZ0PLK,439.425,split,431.825,Tone,103.5,88.5,23,NN,FM,5,,,,,
35,LZ0SMM,145.350,split,144.750,,88.5,88.5,23,NN,FM,5,,,,,
36,LZ0MAI,439.575,split,431.975,,88.5,88.5,23,NN,FM,5,,,,,
37,LZ0DOE,145.625,split,145.025,,88.5,88.5,23,NN,FM,5,,,,,
38,LZ0DVB,439.550,split,431.950,,88.5,88.5,23,NN,FM,5,,,,,
39,LZ0GDO,145.775,split,145.175,,88.5,88.5,23,NN,FM,5,,,,,
40,LZ0SUN,438.425,split,430.825,,88.5,88.5,23,NN,FM,5,,,,,
41,LZ0GEO,438.900,split,431.300,Tone,74.4,88.5,23,NN,FM,5,,,,,
42,LZ0CHM,439.375,split,431.775,,88.5,88.5,23,NN,FM,5,,,,,
43,LZ0WOL,145.700,split,145.100,,88.5,88.5,23,NN,FM,5,,,,,
44,LZ0MSS,438.850,split,431.250,Tone,85.4,88.5,23,NN,FM,5,,,,,
45,LZ0SLU,438.750,split,431.150,,88.5,88.5,23,NN,FM,5,,,,,
46,LZ0TRI,145.675,split,145.075,,88.5,88.5,23,NN,FM,5,,,,,
