Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,PMR1,446.006250,split,446.006250,,88.5,88.5,23,NN,NFM,5,,,,,
2,PMR2,446.018750,split,446.018750,,88.5,88.5,23,NN,NFM,5,,,,,
3,PMR3,446.031250,split,446.031250,,88.5,88.5,23,NN,NFM,5,,,,,
4,PMR4,446.043750,split,446.043750,,88.5,88.5,23,NN,NFM,5,,,,,
5,PMR5,446.056250,split,446.056250,,88.5,88.5,23,NN,NFM,5,,,,,
6,PMR6,446.068750,split,446.068750,,88.5,88.5,23,NN,NFM,5,,,,,
7,PMR7,446.081250,split,446.081250,,88.5,88.5,23,NN,NFM,5,,,,,
8,PMR8,446.093750,split,446.093750,,88.5,88.5,23,NN,NFM,5,,,,,
9,PMR9,446.106250,split,446.106250,,88.5,88.5,23,NN,NFM,5,,,,,
10,PMR10,446.118750,split,446.118750,,88.5,88.5,23,NN,NFM,5,,,,,
11,PMR11,446.131250,split,446.131250,,88.5,88.5,23,NN,NFM,5,,,,,
12,PMR12,446.143750,split,446.143750,,88.5,88.5,23,NN,NFM,5,,,,,
13,PMR13,446.156250,split,446.156250,,88.5,88.5,23,NN,NFM,5,,,,,
14,PMR14,446.168750,split,446.168750,,88.5,88.5,23,NN,NFM,5,,,,,
15,PMR15,446.181250,split,446.181250,,88.5,88.5,23,NN,NFM,5,,,,,
16,PMR16,446.193750,split,446.193750,,88.5,88.5,23,NN,NFM,5,,,,,
